Study_Hours,Attendance,Previous_Marks,Assignment_Score,Project_Score,Result
2,60,45,40,45,Fail
3,65,50,45,48,Fail
4,70,55,50,52,Fail
5,75,60,55,58,Pass
6,80,65,65,68,Pass
7,85,70,70,72,Pass
8,90,75,75,78,Pass
2,55,40,35,40,Fail
4,72,58,52,55,Fail
6,88,72,68,70,Pass
7,92,78,80,82,Pass
5,78,64,60,65,Pass
3,68,52,48,50,Fail
8,95,82,85,88,Pass
9,96,85,88,90,Pass
1,50,35,30,35,Fail
4,74,57,55,58,Fail
5,82,68,62,66,Pass
7,89,76,74,77,Pass
6,84,73,72,75,Pass
3,63,48,43,47,Fail
8,91,81,83,86,Pass
9,98,90,92,94,Pass
2,58,42,38,43,Fail
5,79,67,66,69,Pass
7,87,79,77,80,Pass
4,71,54,51,54,Fail
6,86,71,69,73,Pass
8,93,88,86,89,Pass
10,97,92,95,96,Pass
